psid,survey_id_fk,monthly_fee,arrears,amount_due,bill_month,payment_status,is_duplicate
26770110100915042005,1939324,300,0,330,Oct-2025,UNPAID,False
26770110100915042004,84066,300,0,330,Oct-2025,UNPAID,True
26770110100915042003,84066,300,0,330,Oct-2025,UNPAID,True
26770110100915042002,84047,300,0,330,Oct-2025,UNPAID,False
26770110100915042001,84029,700,0,770,Oct-2025,UNPAID,False
26770110100915042000,84013,300,0,330,Oct-2025,UNPAID,False
26770110100915041999,83980,300,0,330,Oct-2025,UNPAID,False
26770110100915041998,83942,300,0,330,Oct-2025,UNPAID,False
26770110100915041997,83939,300,0,330,Oct-2025,UNPAID,False
26770110100915041996,83929,300,0,330,Oct-2025,UNPAID,False
26770110100915041995,83925,300,0,330,Oct-2025,UNPAID,False
26770110100915041994,83830,2000,0,2200,Oct-2025,UNPAID,False
26770110100915041993,83766,300,0,330,Oct-2025,UNPAID,False
26770110100915041992,83734,300,0,330,Oct-2025,UNPAID,False
26770110100915041991,83719,300,0,330,Oct-2025,UNPAID,False
26770110100915041990,83716,700,0,770,Oct-2025,UNPAID,False
26770110100915041989,83709,2000,0,2200,Oct-2025,UNPAID,False
26770110100915041988,83583,300,0,330,Oct-2025,UNPAID,False
26770110100915041987,83563,300,0,330,Oct-2025,UNPAID,False
26770110100915041986,83551,300,0,330,Oct-2025,UNPAID,False
26770110100915041985,83508,300,0,330,Oct-2025,UNPAID,False
26770110100915041984,83504,300,0,330,Oct-2025,UNPAID,False
26770110100915041983,83491,300,0,330,Oct-2025,UNPAID,False
26770110100915041982,83460,700,0,770,Oct-2025,UNPAID,False
26770110100915041981,83451,700,0,770,Oct-2025,UNPAID,False
26770110100915041980,83437,300,0,330,Oct-2025,UNPAID,False
26770110100915041979,83423,300,0,330,Oct-2025,UNPAID,False
26770110100915041978,83407,300,0,330,Oct-2025,UNPAID,False
26770110100915041977,83384,300,0,330,Oct-2025,UNPAID,False
26770110100915041976,83369,300,0,330,Oct-2025,UNPAID,False
26770110100915041975,83342,700,0,770,Oct-2025,UNPAID,False
26770110100915041974,83331,300,0,330,Oct-2025,UNPAID,False
26770110100915041973,83315,300,0,330,Oct-2025,UNPAID,False
26770110100915041972,83301,300,0,330,Oct-2025,UNPAID,False
26770110100915041971,83211,300,0,330,Oct-2025,UNPAID,False
26770110100915041970,83125,300,0,330,Oct-2025,UNPAID,False
26770110100915041969,83122,300,0,330,Oct-2025,UNPAID,False
26770110100915041968,83089,1000,0,1100,Oct-2025,UNPAID,False
26770110100915041967,83077,700,0,770,Oct-2025,UNPAID,False
26770110100915041966,83065,700,0,770,Oct-2025,UNPAID,False
26770110100915041965,83060,300,0,330,Oct-2025,UNPAID,False
26770110100915041964,83050,300,0,330,Oct-2025,UNPAID,False
26770110100915041963,83034,1000,0,1100,Oct-2025,UNPAID,False
26770110100915041962,83026,300,0,330,Oct-2025,UNPAID,False
26770110100915041961,82986,500,0,550,Oct-2025,UNPAID,False
26770110100915041960,82980,700,0,770,Oct-2025,UNPAID,False
26770110100915041959,81865,300,0,330,Oct-2025,UNPAID,False
26770110100915041958,81859,700,0,770,Oct-2025,UNPAID,False
26770110100915041957,81849,300,0,330,Oct-2025,UNPAID,False
26770110100915041956,81846,300,0,330,Oct-2025,UNPAID,False
26770110100915041955,81826,300,0,330,Oct-2025,UNPAID,False
26770110100915041954,81825,300,0,330,Oct-2025,UNPAID,False
26770110100915041953,81810,700,0,770,Oct-2025,UNPAID,False
26770110100915041952,81808,300,0,330,Oct-2025,UNPAID,False
26770110100915041951,81806,300,0,330,Oct-2025,UNPAID,False
26770110100915041950,81798,300,0,330,Oct-2025,UNPAID,False
26770110100915041949,81793,300,0,330,Oct-2025,UNPAID,False
26770110100915041948,81779,300,0,330,Oct-2025,UNPAID,False
26770110100915041947,81775,300,0,330,Oct-2025,UNPAID,False
26770110100915041946,81762,300,0,330,Oct-2025,UNPAID,False
26770110100915041945,81753,300,0,330,Oct-2025,UNPAID,False
26770110100915041944,81743,300,0,330,Oct-2025,UNPAID,False
26770110100915041943,81717,300,0,330,Oct-2025,UNPAID,False
26770110100915041942,81697,300,0,330,Oct-2025,UNPAID,False
26770110100915041941,81696,2000,0,2200,Oct-2025,UNPAID,False
26770110100915041940,81695,300,0,330,Oct-2025,UNPAID,True
26770110100915041939,81695,300,0,330,Oct-2025,UNPAID,True
26770110100915041938,81680,300,0,330,Oct-2025,UNPAID,False
26770110100915041937,81669,300,0,330,Oct-2025,UNPAID,False
26770110100915041936,81650,300,0,330,Oct-2025,UNPAID,False
26770110100915041935,81642,300,0,330,Oct-2025,UNPAID,False
26770110100915041934,81619,300,0,330,Oct-2025,UNPAID,False
26770110100915041933,81542,300,0,330,Oct-2025,UNPAID,False
26770110100915041932,81541,300,0,330,Oct-2025,UNPAID,False
26770110100915041931,81540,300,0,330,Oct-2025,UNPAID,False
26770110100915041930,81514,300,0,330,Oct-2025,UNPAID,False
26770110100915041929,81512,300,0,330,Oct-2025,UNPAID,False
26770110100915041928,81461,300,0,330,Oct-2025,UNPAID,False
26770110100915041927,81460,300,0,330,Oct-2025,UNPAID,False
26770110100915041926,81452,300,0,330,Oct-2025,UNPAID,False
26770110100915041925,81437,300,0,330,Oct-2025,UNPAID,False
26770110100915041924,81436,300,0,330,Oct-2025,UNPAID,False
26770110100915041923,81417,300,0,330,Oct-2025,UNPAID,False
26770110100915041922,81407,300,0,330,Oct-2025,UNPAID,False
26770110100915041921,81400,300,0,330,Oct-2025,UNPAID,False
26770110100915041920,81377,300,0,330,Oct-2025,UNPAID,False
26770110100915041919,81376,300,0,330,Oct-2025,UNPAID,False
26770110100915041918,81363,300,0,330,Oct-2025,UNPAID,False
26770110100915041917,1941233,500,0,550,Oct-2025,UNPAID,False
26770110100915041916,1941221,500,0,550,Oct-2025,UNPAID,False
26770110100915041915,1941150,500,0,550,Oct-2025,UNPAID,False
26770110100915041914,1940150,500,0,550,Oct-2025,UNPAID,False
26770110100915041913,1939398,500,0,550,Oct-2025,UNPAID,False
26770110100915041912,1939380,500,0,550,Oct-2025,UNPAID,False
26770110100915041911,1939335,500,0,550,Oct-2025,UNPAID,False
26770110100915041910,1939333,500,0,550,Oct-2025,UNPAID,False
26770110100915041909,91074,300,0,330,Oct-2025,UNPAID,False
26770110100915041908,90249,300,0,330,Oct-2025,UNPAID,False
26770110100915041907,88617,300,0,330,Oct-2025,UNPAID,False
26770110100915041906,88412,300,0,330,Oct-2025,UNPAID,False
26770110100915041905,88406,300,0,330,Oct-2025,UNPAID,False
26770110100915041904,88388,300,0,330,Oct-2025,UNPAID,False
26770110100915041903,88385,300,0,330,Oct-2025,UNPAID,False
26770110100915041902,88349,300,0,330,Oct-2025,UNPAID,False
26770110100915041901,88346,300,0,330,Oct-2025,UNPAID,False
26770110100915041900,88340,300,0,330,Oct-2025,UNPAID,False
26770110100915041899,88335,300,0,330,Oct-2025,UNPAID,False
26770110100915041898,88304,300,0,330,Oct-2025,UNPAID,False
26770110100915041897,88294,300,0,330,Oct-2025,UNPAID,False
26770110100915041896,88259,300,0,330,Oct-2025,UNPAID,False
26770110100915041895,88238,300,0,330,Oct-2025,UNPAID,False
26770110100915041894,88229,700,0,770,Oct-2025,UNPAID,False
26770110100915041893,88219,300,0,330,Oct-2025,UNPAID,False
26770110100915041892,88197,700,0,770,Oct-2025,UNPAID,False
26770110100915041891,88182,300,0,330,Oct-2025,UNPAID,False
26770110100915041890,88155,300,0,330,Oct-2025,UNPAID,False
26770110100915041889,88122,300,0,330,Oct-2025,UNPAID,False
26770110100915041888,88107,700,0,770,Oct-2025,UNPAID,False
26770110100915041887,88085,300,0,330,Oct-2025,UNPAID,False
26770110100915041886,87954,300,0,330,Oct-2025,UNPAID,False
26770110100915041885,87952,300,0,330,Oct-2025,UNPAID,False
26770110100915041884,87949,300,0,330,Oct-2025,UNPAID,False
26770110100915041883,87948,300,0,330,Oct-2025,UNPAID,False
26770110100915041882,87947,700,0,770,Oct-2025,UNPAID,False
26770110100915041881,87939,300,0,330,Oct-2025,UNPAID,False
26770110100915041880,87937,300,0,330,Oct-2025,UNPAID,False
26770110100915041879,87936,300,0,330,Oct-2025,UNPAID,False
26770110100915041878,87915,700,0,770,Oct-2025,UNPAID,False
26770110100915041877,85326,300,0,330,Oct-2025,UNPAID,False
26770110100915041876,85324,300,0,330,Oct-2025,UNPAID,False
26770110100915041875,85323,700,0,770,Oct-2025,UNPAID,False
26770110100915041874,85307,300,0,330,Oct-2025,UNPAID,False
26770110100915041873,85306,300,0,330,Oct-2025,UNPAID,False
26770110100915041872,85293,300,0,330,Oct-2025,UNPAID,False
26770110100915041871,85270,300,0,330,Oct-2025,UNPAID,False
26770110100915041870,85266,300,0,330,Oct-2025,UNPAID,False
26770110100915041869,85229,300,0,330,Oct-2025,UNPAID,False
26770110100915041868,85228,700,0,770,Oct-2025,UNPAID,False
26770110100915041867,85227,300,0,330,Oct-2025,UNPAID,False
26770110100915041866,85225,300,0,330,Oct-2025,UNPAID,False
26770110100915041865,85183,300,0,330,Oct-2025,UNPAID,False
26770110100915041864,85164,300,0,330,Oct-2025,UNPAID,False
26770110100915041863,85142,300,0,330,Oct-2025,UNPAID,False
26770110100915041862,85121,300,0,330,Oct-2025,UNPAID,False
26770110100915041861,85102,300,0,330,Oct-2025,UNPAID,False
26770110100915041860,85091,300,0,330,Oct-2025,UNPAID,False
26770110100915041859,85083,300,0,330,Oct-2025,UNPAID,False
26770110100915041858,85081,300,0,330,Oct-2025,UNPAID,False
26770110100915041857,85075,300,0,330,Oct-2025,UNPAID,False
26770110100915041856,85058,300,0,330,Oct-2025,UNPAID,False
26770110100915041855,85046,300,0,330,Oct-2025,UNPAID,False
26770110100915041854,84902,300,0,330,Oct-2025,UNPAID,False
26770110100915041853,84886,300,0,330,Oct-2025,UNPAID,False
26770110100915041852,84876,300,0,330,Oct-2025,UNPAID,False
26770110100915041851,84826,300,0,330,Oct-2025,UNPAID,False
26770110100915041850,84822,500,0,550,Oct-2025,UNPAID,False
26770110100915041849,84794,300,0,330,Oct-2025,UNPAID,False
26770110100915041848,84777,300,0,330,Oct-2025,UNPAID,False
26770110100915041847,84756,300,0,330,Oct-2025,UNPAID,False
26770110100915041846,84744,300,0,330,Oct-2025,UNPAID,False
26770110100915041845,84739,700,0,770,Oct-2025,UNPAID,False
26770110100915041844,84726,300,0,330,Oct-2025,UNPAID,False
26770110100915041843,84715,300,0,330,Oct-2025,UNPAID,False
26770110100915041842,84707,300,0,330,Oct-2025,UNPAID,False
26770110100915041841,84706,300,0,330,Oct-2025,UNPAID,False
26770110100915041840,84702,300,0,330,Oct-2025,UNPAID,False
26770110100915041839,84689,300,0,330,Oct-2025,UNPAID,False
26770110100915041838,84653,700,0,770,Oct-2025,UNPAID,False
26770110100915041837,84607,700,0,770,Oct-2025,UNPAID,False
26770110100915041836,84544,700,0,770,Oct-2025,UNPAID,False
26770110100915041835,84533,300,0,330,Oct-2025,UNPAID,False
26770110100915041834,84514,300,0,330,Oct-2025,UNPAID,False
26770110100915041833,84503,300,0,330,Oct-2025,UNPAID,False
26770110100915041832,84473,300,0,330,Oct-2025,UNPAID,False
26770110100915041831,84464,700,0,770,Oct-2025,UNPAID,True
26770110100915041830,84441,300,0,330,Oct-2025,UNPAID,True
26770110100915041829,84410,300,0,330,Oct-2025,UNPAID,True
26770110100915041828,84408,300,0,330,Oct-2025,UNPAID,True
26770110100915041827,84348,700,0,770,Oct-2025,UNPAID,True
26770110100915041826,84263,300,0,330,Oct-2025,UNPAID,True
26770110100915041825,84254,300,0,330,Oct-2025,UNPAID,True
26770110100915041824,84234,300,0,330,Oct-2025,UNPAID,True
26770110100915041823,84181,300,0,330,Oct-2025,UNPAID,False
26770110100915041822,84146,300,0,330,Oct-2025,UNPAID,False
26770110100915041821,84120,2000,0,2200,Oct-2025,UNPAID,False
26770110100915041820,84101,300,0,330,Oct-2025,UNPAID,False
26770110100915041819,84091,300,0,330,Oct-2025,UNPAID,False
26770110100915041818,84464,700,0,770,Oct-2025,UNPAID,True
26770110100915041817,84441,300,0,330,Oct-2025,UNPAID,True
26770110100915041816,84410,300,0,330,Oct-2025,UNPAID,True
26770110100915041815,84408,300,0,330,Oct-2025,UNPAID,True
26770110100915041814,84348,700,0,770,Oct-2025,UNPAID,True
26770110100915041813,84263,300,0,330,Oct-2025,UNPAID,True
26770110100915041812,84254,300,0,330,Oct-2025,UNPAID,True
26770110100915041811,84234,300,0,330,Oct-2025,UNPAID,True
26770110100915041810,82964,300,0,330,Oct-2025,UNPAID,True
26770110100915041809,82936,300,0,330,Oct-2025,UNPAID,False
26770110100915041808,82919,300,0,330,Oct-2025,UNPAID,True
26770110100915041807,82914,700,0,770,Oct-2025,UNPAID,True
26770110100915041806,82906,300,0,330,Oct-2025,UNPAID,False
26770110100915041805,82879,700,0,770,Oct-2025,UNPAID,False
26770110100915041804,82871,700,0,770,Oct-2025,UNPAID,True
26770110100915041803,82858,300,0,330,Oct-2025,UNPAID,True
26770110100915041802,82844,300,0,330,Oct-2025,UNPAID,True
26770110100915041801,82824,700,0,770,Oct-2025,UNPAID,True
26770110100915041800,82811,300,0,330,Oct-2025,UNPAID,True
26770110100915041799,82790,700,0,770,Oct-2025,UNPAID,True
26770110100915041798,82765,300,0,330,Oct-2025,UNPAID,True
26770110100915041797,82757,300,0,330,Oct-2025,UNPAID,True
26770110100915041796,82745,300,0,330,Oct-2025,UNPAID,True
26770110100915041795,82739,300,0,330,Oct-2025,UNPAID,True
26770110100915041794,82729,700,0,770,Oct-2025,UNPAID,True
26770110100915041793,82705,300,0,330,Oct-2025,UNPAID,True
26770110100915041792,82701,1000,0,1100,Oct-2025,UNPAID,True
26770110100915041791,82700,300,0,330,Oct-2025,UNPAID,True
26770110100915041790,82691,300,0,330,Oct-2025,UNPAID,True
26770110100915041789,83674,300,0,330,Oct-2025,UNPAID,False
26770110100915041788,83640,300,0,330,Oct-2025,UNPAID,False
26770110100915041787,83629,300,0,330,Oct-2025,UNPAID,False
26770110100915041786,83621,700,0,770,Oct-2025,UNPAID,False
26770110100915041785,82629,500,0,550,Oct-2025,UNPAID,True
26770110100915041784,82625,300,0,330,Oct-2025,UNPAID,True
26770110100915041783,82619,300,0,330,Oct-2025,UNPAID,True
26770110100915041782,82618,300,0,330,Oct-2025,UNPAID,True
26770110100915041781,82608,300,0,330,Oct-2025,UNPAID,True
26770110100915041780,82606,300,0,330,Oct-2025,UNPAID,True
26770110100915041779,82601,300,0,330,Oct-2025,UNPAID,True
26770110100915041778,82591,700,0,770,Oct-2025,UNPAID,True
26770110100915041777,82567,300,0,330,Oct-2025,UNPAID,True
26770110100915041776,82002,300,0,330,Oct-2025,UNPAID,True
26770110100915041775,81997,300,0,330,Oct-2025,UNPAID,True
26770110100915041774,81985,300,0,330,Oct-2025,UNPAID,True
26770110100915041773,81983,300,0,330,Oct-2025,UNPAID,True
26770110100915041772,81963,300,0,330,Oct-2025,UNPAID,True
26770110100915041771,81962,300,0,330,Oct-2025,UNPAID,True
26770110100915041770,81957,300,0,330,Oct-2025,UNPAID,True
26770110100915041769,81873,300,0,330,Oct-2025,UNPAID,False
26770110100915041768,81866,2000,0,2200,Oct-2025,UNPAID,False
26770110100915041767,83279,300,0,330,Oct-2025,UNPAID,False
26770110100915041766,83267,300,0,330,Oct-2025,UNPAID,False
26770110100915041765,83220,300,0,330,Oct-2025,UNPAID,False
26770110100915041764,82964,300,0,330,Oct-2025,UNPAID,True
26770110100915041763,83181,700,0,770,Oct-2025,UNPAID,False
26770110100915041762,82919,300,0,330,Oct-2025,UNPAID,True
26770110100915041761,82914,700,0,770,Oct-2025,UNPAID,True
26770110100915041760,83120,300,0,330,Oct-2025,UNPAID,False
26770110100915041759,83112,700,0,770,Oct-2025,UNPAID,False
26770110100915041758,82871,700,0,770,Oct-2025,UNPAID,True
26770110100915041757,82858,300,0,330,Oct-2025,UNPAID,True
26770110100915041756,82844,300,0,330,Oct-2025,UNPAID,True
26770110100915041755,82824,700,0,770,Oct-2025,UNPAID,True
26770110100915041754,82811,300,0,330,Oct-2025,UNPAID,True
26770110100915041753,82790,700,0,770,Oct-2025,UNPAID,True
26770110100915041752,82765,300,0,330,Oct-2025,UNPAID,True
26770110100915041751,82757,300,0,330,Oct-2025,UNPAID,True
26770110100915041750,82745,300,0,330,Oct-2025,UNPAID,True
26770110100915041749,82739,300,0,330,Oct-2025,UNPAID,True
26770110100915041748,82729,700,0,770,Oct-2025,UNPAID,True
26770110100915041747,82705,300,0,330,Oct-2025,UNPAID,True
26770110100915041746,82701,1000,0,1100,Oct-2025,UNPAID,True
26770110100915041745,82700,300,0,330,Oct-2025,UNPAID,True
26770110100915041744,82691,300,0,330,Oct-2025,UNPAID,True
26770110100915041743,82674,300,0,330,Oct-2025,UNPAID,False
26770110100915041742,82651,300,0,330,Oct-2025,UNPAID,False
26770110100915041741,82644,300,0,330,Oct-2025,UNPAID,False
26770110100915041740,82632,300,0,330,Oct-2025,UNPAID,False
26770110100915041739,82629,500,0,550,Oct-2025,UNPAID,True
26770110100915041738,82625,300,0,330,Oct-2025,UNPAID,True
26770110100915041737,82619,300,0,330,Oct-2025,UNPAID,True
26770110100915041736,82618,300,0,330,Oct-2025,UNPAID,True
26770110100915041735,82608,300,0,330,Oct-2025,UNPAID,True
26770110100915041734,82606,300,0,330,Oct-2025,UNPAID,True
26770110100915041733,82601,300,0,330,Oct-2025,UNPAID,True
26770110100915041732,82591,700,0,770,Oct-2025,UNPAID,True
26770110100915041731,82567,300,0,330,Oct-2025,UNPAID,True
26770110100915041730,82002,300,0,330,Oct-2025,UNPAID,True
26770110100915041729,81997,300,0,330,Oct-2025,UNPAID,True
26770110100915041728,81985,300,0,330,Oct-2025,UNPAID,True
26770110100915041727,81983,300,0,330,Oct-2025,UNPAID,True
26770110100915041726,81963,300,0,330,Oct-2025,UNPAID,True
26770110100915041725,81962,300,0,330,Oct-2025,UNPAID,True
26770110100915041724,81957,300,0,330,Oct-2025,UNPAID,True
26770110100915041723,81946,300,0,330,Oct-2025,UNPAID,False
26770110100915041722,81932,300,0,330,Oct-2025,UNPAID,False
26770110100915041721,81911,300,0,330,Oct-2025,UNPAID,False
26770110100915041720,81908,300,0,330,Oct-2025,UNPAID,False
26770110100915041719,81907,300,0,330,Oct-2025,UNPAID,False
26770110100915041718,81889,300,0,330,Oct-2025,UNPAID,False
26770110100915041717,81882,300,0,330,Oct-2025,UNPAID,False
26770110100915041716,81878,300,0,330,Oct-2025,UNPAID,False
26770110100915041715,1941248,300,0,330,Oct-2025,UNPAID,False
26770110100915041714,1941243,300,0,330,Oct-2025,UNPAID,False
26770110100915041713,1941242,300,0,330,Oct-2025,UNPAID,False
26770110100915041712,1941235,300,0,330,Oct-2025,UNPAID,False
26770110100915041711,82562,300,0,330,Oct-2025,UNPAID,False
26770110100915041710,82550,500,0,550,Oct-2025,UNPAID,False
26770110100915041709,82547,300,0,330,Oct-2025,UNPAID,False
26770110100915041708,82524,300,0,330,Oct-2025,UNPAID,False
26770110100915041707,82516,300,0,330,Oct-2025,UNPAID,False
26770110100915041706,82512,300,0,330,Oct-2025,UNPAID,False
26770110100915041705,82506,300,0,330,Oct-2025,UNPAID,False
26770110100915041704,82491,300,0,330,Oct-2025,UNPAID,False
26770110100915041703,82480,500,0,550,Oct-2025,UNPAID,False
26770110100915041702,82464,300,0,330,Oct-2025,UNPAID,False
26770110100915041701,82437,300,0,330,Oct-2025,UNPAID,False
26770110100915041700,82424,500,0,550,Oct-2025,UNPAID,False
26770110100915041699,82411,300,0,330,Oct-2025,UNPAID,False
26770110100915041698,82379,300,0,330,Oct-2025,UNPAID,False
26770110100915041697,82339,300,0,330,Oct-2025,UNPAID,False
26770110100915041696,82331,1000,0,1100,Oct-2025,UNPAID,False
26770110100915041695,82314,700,0,770,Oct-2025,UNPAID,False
26770110100915041694,82313,700,0,770,Oct-2025,UNPAID,False
26770110100915041693,82303,2000,0,2200,Oct-2025,UNPAID,False
26770110100915041692,82292,300,0,330,Oct-2025,UNPAID,False
26770110100915041691,82268,300,0,330,Oct-2025,UNPAID,False
26770110100915041690,82246,300,0,330,Oct-2025,UNPAID,False
26770110100915041689,82242,300,0,330,Oct-2025,UNPAID,False
26770110100915041688,82237,300,0,330,Oct-2025,UNPAID,False
26770110100915041687,82211,1000,0,1100,Oct-2025,UNPAID,False
26770110100915041686,82186,300,0,330,Oct-2025,UNPAID,False
26770110100915041685,82175,300,0,330,Oct-2025,UNPAID,False
26770110100915041684,82157,700,0,770,Oct-2025,UNPAID,False
26770110100915041683,82155,700,0,770,Oct-2025,UNPAID,False
26770110100915041682,82150,700,0,770,Oct-2025,UNPAID,False
26770110100915041681,82143,1000,0,1100,Oct-2025,UNPAID,False
