psid,survey_id_fk,monthly_fee,arrears,amount_due,bill_month,payment_status,is_duplicate
26770110100915001403,538938,500,0,1655,Sep-2025,UNPAID,False
26770110100915001402,538913,200,0,662,Sep-2025,UNPAID,False
26770110100915001401,538882,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001400,538839,500,0,1655,Sep-2025,UNPAID,False
26770110100915001399,538838,300,0,993,Sep-2025,UNPAID,False
26770110100915001398,538828,300,0,993,Sep-2025,UNPAID,False
26770110100915001397,538827,300,0,993,Sep-2025,UNPAID,False
26770110100915001396,538757,500,0,1655,Sep-2025,UNPAID,False
26770110100915001395,538735,400,0,1324,Sep-2025,UNPAID,False
26770110100915001394,538726,300,0,993,Sep-2025,UNPAID,False
26770110100915001393,538718,500,0,1655,Sep-2025,UNPAID,False
26770110100915001392,538697,300,0,993,Sep-2025,UNPAID,False
26770110100915001391,538669,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001390,538559,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001389,538485,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001388,538475,300,0,993,Sep-2025,UNPAID,False
26770110100915001387,538474,300,0,993,Sep-2025,UNPAID,False
26770110100915001386,538236,300,0,993,Sep-2025,UNPAID,False
26770110100915001385,538192,200,0,662,Sep-2025,UNPAID,False
26770110100915001384,538002,400,0,1324,Sep-2025,UNPAID,False
26770110100915001383,537923,3000,0,9930,Sep-2025,UNPAID,False
26770110100915001382,537886,200,0,662,Sep-2025,UNPAID,False
26770110100915001381,537847,500,0,1655,Sep-2025,UNPAID,False
26770110100915001380,537829,200,0,662,Sep-2025,UNPAID,False
26770110100915001379,537803,200,0,662,Sep-2025,UNPAID,False
26770110100915001378,537801,200,0,662,Sep-2025,UNPAID,False
26770110100915001377,537800,200,0,662,Sep-2025,UNPAID,False
26770110100915001376,537799,200,0,662,Sep-2025,UNPAID,False
26770110100915001375,537798,200,0,662,Sep-2025,UNPAID,False
26770110100915001374,537796,200,0,662,Sep-2025,UNPAID,False
26770110100915001373,537751,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001372,537704,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001371,537646,300,0,993,Sep-2025,UNPAID,False
26770110100915001370,537638,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001369,537594,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001368,537591,300,0,993,Sep-2025,UNPAID,False
26770110100915001367,537527,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001366,537521,300,0,993,Sep-2025,UNPAID,False
26770110100915001365,537387,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001364,537355,500,0,1655,Sep-2025,UNPAID,False
26770110100915001363,537328,500,0,1655,Sep-2025,UNPAID,False
26770110100915001362,537290,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001361,537247,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001360,537183,500,0,1655,Sep-2025,UNPAID,False
26770110100915001359,537127,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001358,537064,500,0,1655,Sep-2025,UNPAID,False
26770110100915001357,537015,300,0,993,Sep-2025,UNPAID,False
26770110100915001356,536999,500,0,1655,Sep-2025,UNPAID,False
26770110100915001355,536955,500,0,1655,Sep-2025,UNPAID,False
26770110100915001354,536917,500,0,1655,Sep-2025,UNPAID,False
26770110100915001353,536902,300,0,993,Sep-2025,UNPAID,False
26770110100915001352,536860,300,0,993,Sep-2025,UNPAID,False
26770110100915001351,536831,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001350,536795,500,0,1655,Sep-2025,UNPAID,False
26770110100915001349,536764,500,0,1655,Sep-2025,UNPAID,False
26770110100915001348,536734,500,0,1655,Sep-2025,UNPAID,False
26770110100915001347,536711,500,0,1655,Sep-2025,UNPAID,False
26770110100915001346,536689,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001345,536653,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001344,536618,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001343,536592,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001342,536556,500,0,1655,Sep-2025,UNPAID,False
26770110100915001341,536526,500,0,1655,Sep-2025,UNPAID,False
26770110100915001340,536500,500,0,1655,Sep-2025,UNPAID,False
26770110100915001339,536464,500,0,1655,Sep-2025,UNPAID,False
26770110100915001338,536444,500,0,1655,Sep-2025,UNPAID,False
26770110100915001337,536322,3000,0,9930,Sep-2025,UNPAID,False
26770110100915001336,536255,2000,0,6620,Sep-2025,UNPAID,False
26770110100915001335,536245,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001334,536226,1000,0,3310,Sep-2025,UNPAID,False
26770110100915001333,536183,3000,0,9930,Sep-2025,UNPAID,False
26770110100915001332,536161,700,0,2317,Sep-2025,UNPAID,False
26770110100915001331,536149,300,0,993,Sep-2025,UNPAID,False
26770110100915001330,536141,300,0,993,Sep-2025,UNPAID,False
26770110100915001329,536121,300,0,993,Sep-2025,UNPAID,False
26770110100915001328,536085,300,0,993,Sep-2025,UNPAID,False
26770110100915001327,536073,300,0,993,Sep-2025,UNPAID,False
26770110100915001326,536057,300,0,993,Sep-2025,UNPAID,False
26770110100915001325,536018,300,0,993,Sep-2025,UNPAID,False
26770110100915001324,535998,300,0,993,Sep-2025,UNPAID,False
26770110100915001323,535993,300,0,993,Sep-2025,UNPAID,False
26770110100915001322,535980,300,0,993,Sep-2025,UNPAID,False
26770110100915001321,535970,300,0,993,Sep-2025,UNPAID,False
26770110100915001320,535960,300,0,993,Sep-2025,UNPAID,False
26770110100915001319,535956,300,0,993,Sep-2025,UNPAID,False
26770110100915001318,535950,2000,0,6620,Sep-2025,UNPAID,False
26770110100915001317,535938,300,0,993,Sep-2025,UNPAID,False
26770110100915001316,535931,300,0,993,Sep-2025,UNPAID,False
26770110100915001315,535929,500,0,1655,Sep-2025,UNPAID,False
26770110100915001314,535920,300,0,993,Sep-2025,UNPAID,False
26770110100915001313,535915,2000,0,6620,Sep-2025,UNPAID,False
26770110100915001312,535911,300,0,993,Sep-2025,UNPAID,False
26770110100915001311,535908,500,0,1655,Sep-2025,UNPAID,False
26770110100915001310,535901,500,0,1655,Sep-2025,UNPAID,False
26770110100915001309,535893,300,0,993,Sep-2025,UNPAID,False
26770110100915001308,535892,500,0,1655,Sep-2025,UNPAID,False
26770110100915001307,535887,500,0,1655,Sep-2025,UNPAID,False
26770110100915001306,535878,700,0,2317,Sep-2025,UNPAID,False
26770110100915001305,535873,500,0,1655,Sep-2025,UNPAID,False
26770110100915001304,535872,300,0,993,Sep-2025,UNPAID,False
26770110100915001303,535865,500,0,1655,Sep-2025,UNPAID,False
26770110100915001302,535863,300,0,993,Sep-2025,UNPAID,False
26770110100915001301,535859,500,0,1655,Sep-2025,UNPAID,False
26770110100915001300,535853,700,0,2317,Sep-2025,UNPAID,False
26770110100915001299,535850,500,0,1655,Sep-2025,UNPAID,False
26770110100915001298,535848,700,0,2317,Sep-2025,UNPAID,False
26770110100915001297,535844,500,0,1655,Sep-2025,UNPAID,False
26770110100915001296,535838,500,0,1655,Sep-2025,UNPAID,False
26770110100915001295,535836,700,0,2317,Sep-2025,UNPAID,False
26770110100915001294,535825,700,0,2317,Sep-2025,UNPAID,False
26770110100915001293,535805,700,0,2317,Sep-2025,UNPAID,False
26770110100915001292,535804,700,0,2317,Sep-2025,UNPAID,False
26770110100915001291,535799,300,0,993,Sep-2025,UNPAID,False
26770110100915001290,535796,300,0,993,Sep-2025,UNPAID,False
26770110100915001289,535794,300,0,993,Sep-2025,UNPAID,False
26770110100915001288,535791,300,0,993,Sep-2025,UNPAID,False
26770110100915001287,535787,300,0,993,Sep-2025,UNPAID,False
26770110100915001286,535781,300,0,993,Sep-2025,UNPAID,False
26770110100915001285,535776,300,0,993,Sep-2025,UNPAID,False
26770110100915001284,535770,300,0,993,Sep-2025,UNPAID,False
26770110100915001283,535766,300,0,993,Sep-2025,UNPAID,False
26770110100915001282,535764,300,0,993,Sep-2025,UNPAID,False
26770110100915001281,535761,300,0,993,Sep-2025,UNPAID,False
26770110100915001280,535760,300,0,993,Sep-2025,UNPAID,False
26770110100915001279,535758,300,0,993,Sep-2025,UNPAID,False
26770110100915001278,535756,300,0,993,Sep-2025,UNPAID,False
26770110100915001277,535754,300,0,993,Sep-2025,UNPAID,False
26770110100915001276,535752,300,0,993,Sep-2025,UNPAID,False
26770110100915001275,535749,300,0,993,Sep-2025,UNPAID,False
26770110100915001274,535747,300,0,993,Sep-2025,UNPAID,False
26770110100915001273,535745,300,0,993,Sep-2025,UNPAID,False
26770110100915001272,528888,300,0,993,Sep-2025,UNPAID,False
26770110100915001271,528887,300,0,993,Sep-2025,UNPAID,False
26770110100915001270,528886,700,0,2317,Sep-2025,UNPAID,False
26770110100915001269,528885,300,0,993,Sep-2025,UNPAID,False
26770110100915001268,528884,300,0,993,Sep-2025,UNPAID,False
26770110100915001267,528882,300,0,993,Sep-2025,UNPAID,False
26770110100915001266,528759,300,0,993,Sep-2025,UNPAID,False
26770110100915001265,528688,300,0,993,Sep-2025,UNPAID,False
26770110100915001264,528659,300,0,993,Sep-2025,UNPAID,False
26770110100915001263,528600,300,0,993,Sep-2025,UNPAID,False
26770110100915001262,528577,300,0,993,Sep-2025,UNPAID,False
26770110100915001261,528563,300,0,993,Sep-2025,UNPAID,False
26770110100915001260,528534,300,0,993,Sep-2025,UNPAID,False
26770110100915001259,528521,300,0,993,Sep-2025,UNPAID,False
