psid,survey_id_fk,monthly_fee,arrears,amount_due,bill_month,payment_status,is_duplicate
26770110100905031062,2302635,300,0,0,Nov-2025,UNPAID,False
26770110100905031061,2302427,300,0,0,Nov-2025,UNPAID,False
26770110100905031060,2302422,300,0,0,Nov-2025,UNPAID,False
26770110100905031059,2302416,300,0,0,Nov-2025,UNPAID,False
26770110100905031058,2302363,300,0,0,Nov-2025,UNPAID,False
26770110100905031057,2302346,300,0,0,Nov-2025,UNPAID,False
26770110100905031056,2302328,300,0,0,Nov-2025,UNPAID,False
26770110100905031055,2302327,300,0,0,Nov-2025,UNPAID,False
26770110100905031054,2302313,300,0,0,Nov-2025,UNPAID,False
26770110100905031053,2302301,300,0,0,Nov-2025,UNPAID,False
26770110100905031052,2302296,300,0,0,Nov-2025,UNPAID,False
26770110100905031051,2302284,300,0,0,Nov-2025,UNPAID,False
26770110100905031050,2302282,300,0,0,Nov-2025,UNPAID,False
26770110100905031049,2302280,300,0,0,Nov-2025,UNPAID,False
26770110100905031048,2302276,300,0,0,Nov-2025,UNPAID,False
26770110100905031047,2302270,300,0,0,Nov-2025,UNPAID,False
26770110100905031046,2302266,300,0,0,Nov-2025,UNPAID,False
26770110100905031045,2302252,300,0,0,Nov-2025,UNPAID,False
26770110100905031044,2302207,300,0,0,Nov-2025,UNPAID,False
26770110100905031043,2302204,300,0,0,Nov-2025,UNPAID,False
26770110100905031042,2302201,300,0,0,Nov-2025,UNPAID,False
26770110100905031041,2302195,300,0,0,Nov-2025,UNPAID,False
26770110100905031040,2302194,300,0,0,Nov-2025,UNPAID,False
26770110100905031039,2302185,300,0,0,Nov-2025,UNPAID,False
26770110100905031038,2302138,300,0,0,Nov-2025,UNPAID,False
26770110100905031037,2302129,300,0,0,Nov-2025,UNPAID,False
26770110100905031036,2302040,300,0,0,Nov-2025,UNPAID,False
26770110100905031035,2302025,300,0,0,Nov-2025,UNPAID,False
26770110100905031034,2302014,300,0,0,Nov-2025,UNPAID,False
26770110100905031033,2301994,300,0,0,Nov-2025,UNPAID,False
26770110100905031032,2301971,300,0,0,Nov-2025,UNPAID,False
26770110100905031031,2301901,300,0,0,Nov-2025,UNPAID,False
26770110100905031030,2301900,300,0,0,Nov-2025,UNPAID,False
26770110100905031029,2301892,300,0,0,Nov-2025,UNPAID,False
26770110100905031028,2301857,300,0,0,Nov-2025,UNPAID,False
26770110100905031027,2301852,300,0,0,Nov-2025,UNPAID,False
26770110100905031026,2301849,500,0,0,Nov-2025,UNPAID,False
26770110100905031025,2301845,300,0,0,Nov-2025,UNPAID,False
26770110100905031024,2301818,300,0,0,Nov-2025,UNPAID,False
26770110100905031023,2301808,300,0,0,Nov-2025,UNPAID,False
26770110100905031022,2301807,500,0,0,Nov-2025,UNPAID,False
26770110100905031021,2301799,300,0,0,Nov-2025,UNPAID,False
26770110100905031020,2301759,300,0,0,Nov-2025,UNPAID,False
26770110100905031019,2301670,300,0,0,Nov-2025,UNPAID,False
26770110100905031018,2301607,300,0,0,Nov-2025,UNPAID,False
26770110100905031017,2301593,300,0,0,Nov-2025,UNPAID,False
26770110100905031016,2301581,300,0,0,Nov-2025,UNPAID,False
26770110100905031015,2301572,300,0,0,Nov-2025,UNPAID,False
26770110100905031014,2301562,300,0,0,Nov-2025,UNPAID,False
26770110100905031013,2301536,300,0,0,Nov-2025,UNPAID,False
26770110100905031012,2301535,300,0,0,Nov-2025,UNPAID,False
26770110100905031011,2301495,300,0,0,Nov-2025,UNPAID,False
26770110100905031010,2301490,300,0,0,Nov-2025,UNPAID,False
