Sr#,PSID,City,Month,WMC,Division,District,Tehsil,Office,UC,Billing Category,Amount,Fine,Bill PDF,Channel,Paid Date,Paid Amount,Status,Active
1,26770110100915019658,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-4, Jameel Park, Sargodha",Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16070-area-5526-03-03-12.pdf,1Bill,"Dec 06, 2025",500,paid,1
2,26770110100911008794,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-21 Block 4 5,Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15412-area-5784-02-59-13.pdf,1Bill,"Dec 06, 2025",500,paid,1
3,26770110100911003701,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-21 Block 4 5,Commercial Urban Small business,1000,105,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15417-area-5784-02-59-15.pdf,1Bill,"Dec 06, 2025",1000,paid,1
4,26770110100911003395,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-17 Block no 2,Commercial Urban Medium business,2000,210,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15318-area-5780-02-58-37.pdf,1Bill,"Dec 06, 2025",2000,paid,1
5,26770110100915028904,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-21, Muslim Abad, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16215-area-5543-03-04-10.pdf,1Bill,"Dec 06, 2025",300,paid,1
6,26770110100905019693,Khushab,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-01/Mitha Tiwana/Ward-20/Ihsan Colony,Domestic Urban Above 5 to 10 marla,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14800-area-5986-02-55-39.pdf,1Bill,"Dec 06, 2025",500,paid,1
7,26770110100915006553,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-21, Muslim Abad, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16207-area-5543-03-04-07.pdf,1Bill,"Dec 06, 2025",300,paid,1
8,26770110100915032583,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-21, Muslim Abad, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16217-area-5543-03-04-12.pdf,1Bill,"Dec 06, 2025",300,paid,1
9,26770110100915023082,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-17, Block 5/11, Sargodha",Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16148-area-5539-03-03-44.pdf,1Bill,"Dec 06, 2025",500,paid,1
10,26770110100915020180,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-20, DHQ, Sargodha",Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16043-area-5542-03-03-01.pdf,1Bill,"Dec 06, 2025",500,paid,1
11,26770110100915015997,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-12, Urban Area, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16174-area-5534-03-03-54.pdf,1Bill,"Dec 06, 2025",300,paid,1
12,26770110100915032621,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-21, Muslim Abad, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16217-area-5543-03-04-12.pdf,1Bill,"Dec 06, 2025",300,paid,1
13,26770110100915015584,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-20, DHQ, Sargodha",Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16035-area-5542-03-02-57.pdf,1Bill,"Dec 06, 2025",500,paid,1
14,26770110100915016310,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-17, Block 5/11, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16131-area-5539-03-03-35.pdf,1Bill,"Dec 06, 2025",300,paid,1
15,26770110100915016361,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-8, Zafar ColonyLehman Pura, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-15927-area-5530-03-02-22.pdf,1Bill,"Dec 06, 2025",300,paid,1
16,26770110100915027416,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-20, DHQ, Sargodha",Commercial Urban Medium business,1000,100,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16046-area-5542-03-03-02.pdf,1Bill,"Dec 06, 2025",1000,paid,1
17,26770110100915003265,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-16, Muqam-e-Hayat I, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-15880-area-5538-03-02-04.pdf,1Bill,"Dec 06, 2025",300,paid,1
18,26770110100915009891,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-4, Jameel Park, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16054-area-5526-03-03-05.pdf,1Bill,"Dec 06, 2025",300,paid,1
19,26770110100915018209,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-3, Satellite Town, Block A, Sargodha",Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16106-area-5525-03-03-26.pdf,1Bill,"Dec 06, 2025",500,paid,1
20,26770110100915015030,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-20, DHQ, Sargodha",Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16035-area-5542-03-02-57.pdf,1Bill,"Dec 06, 2025",500,paid,1
21,26770110100915018305,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-17, Block 5/11, Sargodha",Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16142-area-5539-03-03-41.pdf,1Bill,"Dec 06, 2025",500,paid,1
22,26770110100915022656,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-16, Muqam-e-Hayat I, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-15889-area-5538-03-02-07.pdf,1Bill,"Dec 06, 2025",300,paid,1
23,26770110100915019580,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-17, Block 5/11, Sargodha",Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16143-area-5539-03-03-41.pdf,1Bill,"Dec 06, 2025",500,paid,1
24,26770110100911004761,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal","MC-1, MANZOOR HAYAT COLONY BHALWAL",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15338-area-5763-02-58-46.pdf,1Bill,"Dec 06, 2025",300,paid,1
25,26770110100911003722,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-21 Block 4 5,Commercial Urban Small business,1000,105,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15415-area-5784-02-59-14.pdf,1Bill,"Dec 06, 2025",1000,paid,1
26,26770110100915011612,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-18, City I, Sargodha",Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16230-area-5540-03-04-17.pdf,OTC/Cash,"Dec 06, 2025",500,paid,1
27,26770110100911003454,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-17 Block no 2,Commercial Urban Small business,1000,105,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15317-area-5780-02-58-37.pdf,1Bill,"Dec 06, 2025",1000,paid,1
28,26770110100905017346,Khushab,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Jauharabad/Ward-23/Ghalla Mandi,Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14849-area-5895-02-55-56.pdf,1Bill,"Dec 06, 2025",500,paid,1
29,26770110100905016253,Khushab,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab","UC-20, Botala, Khushab",Domestic Rural Above 5 to 10 marla,400,42,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-15005-area-5458-02-56-49.pdf,1Bill,"Dec 06, 2025",400,paid,1
30,26770110100905019820,Khushab,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-01/Mitha Tiwana/Ward-20/Ihsan Colony,Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14798-area-5986-02-55-38.pdf,1Bill,"Dec 06, 2025",300,paid,1
31,26770110100905017438,Khushab,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab","UC-24, Roda, Khushab",Commercial Rural Small business,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14880-area-5462-02-56-06.pdf,1Bill,"Dec 06, 2025",300,paid,1
32,26770110100905021990,Khushab,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Jauharabad/Ward-23/Ghalla Mandi,Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14860-area-5895-02-55-58.pdf,1Bill,"Dec 06, 2025",500,paid,1
33,26770110100905022008,Khushab,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Jauharabad/Ward-23/Ghalla Mandi,Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14860-area-5895-02-55-58.pdf,1Bill,"Dec 06, 2025",500,paid,1
34,26770110100905022019,Khushab,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Jauharabad/Ward-23/Ghalla Mandi,Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14860-area-5895-02-55-58.pdf,1Bill,"Dec 06, 2025",500,paid,1
35,26770110100905016023,Khushab,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Khushab/Ward-17/Muhalla Prachgan,Domestic Urban Upto 5 marla,600,63,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14936-area-5913-02-56-21.pdf,1Bill,"Dec 06, 2025",600,paid,1
36,26770110100905016777,Khushab,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab","UC-17, Chak 63 MB, Khushab",Domestic Rural Upto 5 marla,400,42,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-15045-area-5455-02-57-03.pdf,1Bill,"Dec 06, 2025",400,paid,1
37,26770110100911003643,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-21 Block 4 5,Commercial Urban Medium business,2000,210,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15422-area-5784-02-59-15.pdf,1Bill,"Dec 06, 2025",2000,paid,1
38,26770110100911003593,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-17 Block no 2,Commercial Urban Small business,1000,105,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15318-area-5780-02-58-37.pdf,OTC/Cash,"Dec 06, 2025",1000,paid,1
39,26770110100911005643,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal","MC-1, MANZOOR HAYAT COLONY BHALWAL",Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15340-area-5763-02-58-47.pdf,1Bill,"Dec 06, 2025",500,paid,1
40,26770110100911005004,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-11 Tariq Abad,Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15384-area-5773-02-59-04.pdf,1Bill,"Dec 06, 2025",500,paid,1
41,26770110100911007531,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal","MC-1, MANZOOR HAYAT COLONY BHALWAL",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15339-area-5763-02-58-47.pdf,1Bill,"Dec 06, 2025",300,paid,1
42,26770110100911009747,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-5 Zahoor Hayat Colony Bhalwal,Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15326-area-5767-02-58-41.pdf,1Bill,"Dec 06, 2025",300,paid,1
43,26770110100911009748,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-5 Zahoor Hayat Colony Bhalwal,Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15326-area-5767-02-58-41.pdf,1Bill,"Dec 06, 2025",300,paid,1
44,26770110100911010543,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-10 Noor Hayat Colony,Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15358-area-5772-02-58-53.pdf,OTC/Cash,"Dec 06, 2025",300,paid,1
45,26770110100911002857,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-21 Block 4 5,Commercial Urban Small business,1000,105,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15414-area-5784-02-59-14.pdf,1Bill,"Dec 06, 2025",1000,paid,1
46,26770110100911002935,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-21 Block 4 5,Commercial Urban Small business,1000,105,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15415-area-5784-02-59-14.pdf,1Bill,"Dec 06, 2025",1000,paid,1
47,26770110100911003237,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-17 Block no 2,Commercial Urban Small business,1000,105,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15315-area-5780-02-58-37.pdf,1Bill,"Dec 06, 2025",1000,paid,1
48,26770110100911003453,Bhalwal,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Bhalwal,"Tehsil Office, Bhalwal",MC-17 Block no 2,Commercial Urban Small business,1000,105,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/139/bill-spj-15317-area-5780-02-58-37.pdf,1Bill,"Dec 06, 2025",1000,paid,1
49,26770110100915027380,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-3, Satellite Town, Block A, Sargodha",Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16108-area-5525-03-03-28.pdf,1Bill,"Dec 06, 2025",500,paid,1
50,26770110100905017570,Khushab,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Khushab,Khushab,"Tehsil Office, Khushab",Zone-02/Jauharabad/Ward-23/Ghalla Mandi,Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/16/133/bill-spj-14852-area-5895-02-55-56.pdf,1Bill,"Dec 06, 2025",500,paid,1
51,26770110100915024310,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-16, Muqam-e-Hayat I, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-15890-area-5538-03-02-07.pdf,1Bill,"Dec 06, 2025",300,paid,1
52,26770110100915015982,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-4, Jameel Park, Sargodha",Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16061-area-5526-03-03-08.pdf,1Bill,"Dec 06, 2025",500,paid,1
53,26770110100915019692,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-3, Satellite Town, Block A, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16097-area-5525-03-03-22.pdf,1Bill,"Dec 06, 2025",300,paid,1
54,26770110100915027441,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-4, Jameel Park, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16067-area-5526-03-03-10.pdf,1Bill,"Dec 06, 2025",300,paid,1
55,26770110100915020366,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-21, Muslim Abad, Sargodha",Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16219-area-5543-03-04-12.pdf,1Bill,"Dec 06, 2025",500,paid,1
56,26770110100915011877,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-14, New Muhammadi Colony, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16197-area-5536-03-04-03.pdf,1Bill,"Dec 06, 2025",300,paid,1
57,26770110100915006817,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-3, Satellite Town, Block A, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16093-area-5525-03-03-21.pdf,1Bill,"Dec 06, 2025",300,paid,1
58,26770110100915010336,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-4, Jameel Park, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16054-area-5526-03-03-05.pdf,1Bill,"Dec 06, 2025",300,paid,1
59,26770110100915020607,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-17, Block 5/11, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16134-area-5539-03-03-37.pdf,1Bill,"Dec 06, 2025",300,paid,1
60,26770110100915033178,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-4, Jameel Park, Sargodha",Commercial Urban Small business,500,50,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16074-area-5526-03-03-13.pdf,1Bill,"Dec 06, 2025",500,paid,1
61,26770110100915006406,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-4, Jameel Park, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16051-area-5526-03-03-04.pdf,1Bill,"Dec 06, 2025",300,paid,1
62,26770110100915014556,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-13, Iqbal Colony, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16182-area-5535-03-03-56.pdf,1Bill,"Dec 06, 2025",300,paid,1
63,26770110100915014528,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-3, Satellite Town, Block A, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16095-area-5525-03-03-22.pdf,1Bill,"Dec 06, 2025",300,paid,1
64,26770110100915031591,Sargodha,Nov 2025,Sargodha Waste Management Company (SGWMC),Sargodha,Sargodha,Sargodha,"Tehsil Office, Sargodha","MC-22, Istaqlalabad, Sargodha",Domestic Urban Upto 5 marla,300,30,https://suthra.punjab.gov.pk/suthra-nfs/suthra/uploads/suthra-punjab-bill/2025/11/18/9/32/143/bill-spj-16244-area-5544-03-04-21.pdf,1Bill,"Dec 06, 2025",300,paid,1
